Street_Name,Count,BikePath
GUADALUPE ST,70,Bike Lane
S CONGRESS AVE,59,No
SL0343,56,Bike Lane
IH0035,47,No
N LAMAR BLVD,31,No
S 1ST ST,29,Bike Lane
BARTON SPRINGS RD,28,Bike Lane
W 6TH ST,26,Bike Lane
CONGRESS AVE,26,Bike Lane
RED RIVER ST,22,Bike Lane
E RIVERSIDE DR,22,No
DUVAL ST,22,No
S PLEASANT VALLEY RD,21,No
BURNET RD,21,Bike Lane
JOLLYVILLE RD,18,Bike Lane
US0183,17,No
US0290,17,No
MANOR RD,16,Bike Lane
E 7TH ST,15,No
E 6TH ST,14,Bike Lane
SL0360,13,Bike Lane
CONGRESS AVE S,12,Bike Lane
FM0734,12,Bike Lane
E 51ST ST,11,Bike Lane
W 24TH ST,11,No
METRIC BLVD,11,Bike Lane
SL0275,10,Bike Lane
E MARTIN LUTHER KING JR BLVD,10,No
SPEEDWAY,10,Bike Lane
